Title,Assessment Grade,Size in Bytes,Revisions,Registered Edits,IP Edits,Bot Edits,Unique Editors,Major Edits,Minor Edits,Semi Auto Edits,Reverted Edits,Average Time Between Edits,Average Edits Per User,Average Edits Per Day,Average Edits Per Month,Average Edits Per Year,Edits Made By Top 10
Alsophis,Start,5222,62,0,11,14,42,0,22,10,0,2203.2,1.5,0.0,0.3,4.0,27
African bullfrog,Start,9846,315,0,112,41,217,0,101,56,49,441.59999999999997,1.5,0.1,1.7,19.9,49
Archery,Start,69176,4067,0,1729,221,2107,0,1197,777,884,45.599999999999994,1.9,0.7,15.7,187.8,580
3. Liga,Start,78858,738,0,100,57,234,0,165,49,22,199.20000000000002,3.2,0.2,3.7,44.1,349
9-man,Start,9229,78,0,39,10,48,0,18,12,2,1084.8000000000002,1.6,0.0,0.7,8.1,37
24-hour run,Start,3806,175,0,47,20,104,0,52,19,4,794.4000000000001,1.7,0.0,0.9,11.0,59
Aerobatics,Start,12565,572,0,189,38,359,0,137,45,35,319.20000000000005,1.6,0.1,2.3,27.4,101
Alamut Castle,Start,58050,733,0,211,62,395,0,216,66,33,242.39999999999998,1.9,0.1,3.0,36.3,154
1875 in Chile,Start,934,12,0,1,3,11,0,3,3,0,5635.200000000001,1.1,0.0,0.1,1.6,9
9/11: The Twin Towers,Start,14168,359,0,157,27,230,0,97,69,58,386.40000000000003,1.6,0.1,1.9,22.7,68
William Adelin,Start,7768,305,0,41,28,185,0,95,32,13,566.4000000000001,1.6,0.1,1.3,15.5,85
Adeliza,Start,2827,88,0,15,5,50,0,22,19,9,1759.1999999999998,1.8,0.0,0.4,5.0,45
ADInstruments,Start,6457,221,0,57,20,57,0,62,16,2,566.4000000000001,3.9,0.1,1.3,15.5,144
Airone,Start,5337,51,0,0,9,21,0,17,11,0,2277.6000000000004,2.4,0.0,0.3,3.8,38
Ball-pen probe,Start,25538,577,0,10,41,56,0,50,29,18,136.8,10.3,0.2,5.4,64.4,498
Backtesting,Start,8133,176,0,55,18,109,0,54,29,18,806.4000000000001,1.6,0.0,0.9,10.9,50
Cable robots,Start,3866,41,0,6,3,24,0,5,6,0,1509.6,1.7,0.0,0.5,5.8,27
A major,Start,7274,571,0,301,26,327,0,125,65,57,276.0,1.7,0.1,2.6,31.7,108
A minor,Start,4826,655,0,331,26,375,0,134,62,61,237.60000000000002,1.7,0.1,3.1,37.0,115
Absolute music,Start,13065,291,0,93,31,197,0,106,36,21,576.0,1.5,0.1,1.3,15.2,70
Drum solo,Start,3734,381,0,188,16,229,0,73,43,33,405.59999999999997,1.7,0.1,1.8,21.6,72
Eighth note,Start,3757,340,0,130,30,237,0,103,57,58,520.8,1.4,0.1,1.4,16.8,61
Aeolis,Start,7084,204,0,27,28,139,0,78,19,7,780.0,1.5,0.0,0.9,11.2,46
Afar Region,Start,21940,483,0,91,62,246,0,129,39,22,321.6,2.0,0.1,2.3,27.2,137
Antarctic,Start,21594,576,0,173,62,322,0,188,116,115,326.4,1.8,0.1,2.2,26.8,118
Ankogel,Start,1852,19,0,0,2,14,0,4,3,0,2820.0,1.4,0.0,0.3,3.1,15
Asia-Pacific,Start,14252,1448,0,819,40,838,0,243,189,196,110.39999999999999,1.7,0.3,6.6,78.9,166
Airwatt,Start,4341,96,0,28,10,58,0,29,12,2,1341.6,1.7,0.0,0.5,6.5,37
Ajax Engines,Start,2667,44,0,5,11,28,0,19,6,2,2752.8,1.6,0.0,0.3,3.2,26
Alidade,Start,7987,145,0,35,20,92,0,59,15,13,1132.8000000000002,1.6,0.0,0.6,7.7,57
ALTQ,Start,4344,53,0,17,8,41,0,20,5,3,2896.8,1.3,0.0,0.3,3.0,19
AM stereo,Start,22739,348,0,153,17,198,0,78,28,23,470.40000000000003,1.8,0.1,1.5,18.6,91
9 Rides,Stub,2628,19,0,0,0,4,0,2,3,0,220.79999999999998,4.8,0.1,3.3,19.0,19
6 Teens,Stub,4638,51,0,7,3,34,0,10,8,1,967.1999999999999,1.5,0.0,0.8,9.1,27
9 Meter,Stub,2432,24,0,0,4,17,0,9,9,0,3040.8,1.4,0.0,0.2,2.9,17
1 2 3 Sun,Stub,4501,82,0,5,11,41,0,34,14,2,1456.8000000000002,2.0,0.0,0.5,6.0,50
13 Cameras,Stub,4624,43,0,1,5,20,0,13,5,1,736.8,2.2,0.0,1.0,11.9,32
Acanthocercus,Stub,5808,82,0,7,16,46,0,24,4,0,2032.8000000000002,1.8,0.0,0.4,4.3,44
Abavorana,Stub,2119,8,0,0,1,6,0,1,0,0,871.1999999999999,1.3,0.0,0.8,8.0,7
Acontias,Stub,6031,74,0,1,20,49,0,27,7,1,2328.0,1.5,0.0,0.3,3.8,33
